Bandit,Reward,Algorithm
0,1,EpsilonGreedy
1,1,EpsilonGreedy
2,1,EpsilonGreedy
3,1,EpsilonGreedy
4,1,EpsilonGreedy
5,1,EpsilonGreedy
6,1,EpsilonGreedy
7,1,EpsilonGreedy
8,1,EpsilonGreedy
9,1,EpsilonGreedy
10,1,EpsilonGreedy
11,1,EpsilonGreedy
12,1,EpsilonGreedy
13,1,EpsilonGreedy
14,1,EpsilonGreedy
15,2,EpsilonGreedy
16,4,EpsilonGreedy
17,1,EpsilonGreedy
18,4,EpsilonGreedy
19,4,EpsilonGreedy
20,4,EpsilonGreedy
21,4,EpsilonGreedy
22,4,EpsilonGreedy
23,4,EpsilonGreedy
24,4,EpsilonGreedy
25,4,EpsilonGreedy
26,4,EpsilonGreedy
27,4,EpsilonGreedy
28,4,EpsilonGreedy
29,4,EpsilonGreedy
30,4,EpsilonGreedy
31,4,EpsilonGreedy
32,4,EpsilonGreedy
33,4,EpsilonGreedy
34,4,EpsilonGreedy
35,4,EpsilonGreedy
36,4,EpsilonGreedy
37,4,EpsilonGreedy
38,4,EpsilonGreedy
39,4,EpsilonGreedy
40,4,EpsilonGreedy
41,4,EpsilonGreedy
42,4,EpsilonGreedy
43,4,EpsilonGreedy
44,4,EpsilonGreedy
45,4,EpsilonGreedy
46,4,EpsilonGreedy
47,4,EpsilonGreedy
48,4,EpsilonGreedy
49,4,EpsilonGreedy
50,4,EpsilonGreedy
51,4,EpsilonGreedy
52,4,EpsilonGreedy
53,4,EpsilonGreedy
54,4,EpsilonGreedy
55,4,EpsilonGreedy
56,4,EpsilonGreedy
57,4,EpsilonGreedy
58,4,EpsilonGreedy
59,4,EpsilonGreedy
60,4,EpsilonGreedy
61,4,EpsilonGreedy
62,4,EpsilonGreedy
63,4,EpsilonGreedy
64,4,EpsilonGreedy
65,4,EpsilonGreedy
66,4,EpsilonGreedy
67,4,EpsilonGreedy
68,4,EpsilonGreedy
69,4,EpsilonGreedy
70,4,EpsilonGreedy
71,4,EpsilonGreedy
72,4,EpsilonGreedy
73,4,EpsilonGreedy
74,4,EpsilonGreedy
75,4,EpsilonGreedy
76,4,EpsilonGreedy
77,4,EpsilonGreedy
78,4,EpsilonGreedy
79,4,EpsilonGreedy
80,4,EpsilonGreedy
81,4,EpsilonGreedy
82,4,EpsilonGreedy
83,1,EpsilonGreedy
84,4,EpsilonGreedy
85,4,EpsilonGreedy
86,4,EpsilonGreedy
87,4,EpsilonGreedy
88,4,EpsilonGreedy
89,4,EpsilonGreedy
90,4,EpsilonGreedy
91,4,EpsilonGreedy
92,4,EpsilonGreedy
93,4,EpsilonGreedy
94,4,EpsilonGreedy
95,4,EpsilonGreedy
96,4,EpsilonGreedy
97,4,EpsilonGreedy
98,4,EpsilonGreedy
99,4,EpsilonGreedy
100,4,EpsilonGreedy
101,4,EpsilonGreedy
102,4,EpsilonGreedy
103,4,EpsilonGreedy
104,4,EpsilonGreedy
105,4,EpsilonGreedy
106,4,EpsilonGreedy
107,4,EpsilonGreedy
108,4,EpsilonGreedy
109,4,EpsilonGreedy
110,4,EpsilonGreedy
111,4,EpsilonGreedy
112,4,EpsilonGreedy
113,4,EpsilonGreedy
114,4,EpsilonGreedy
115,4,EpsilonGreedy
116,4,EpsilonGreedy
117,4,EpsilonGreedy
118,4,EpsilonGreedy
119,4,EpsilonGreedy
120,4,EpsilonGreedy
121,4,EpsilonGreedy
122,4,EpsilonGreedy
123,4,EpsilonGreedy
124,4,EpsilonGreedy
125,4,EpsilonGreedy
126,4,EpsilonGreedy
