Bandit,Reward,Algorithm
0,2,ThompsonSampling
1,1,ThompsonSampling
2,2,ThompsonSampling
3,4,ThompsonSampling
4,4,ThompsonSampling
5,3,ThompsonSampling
6,2,ThompsonSampling
7,1,ThompsonSampling
8,1,ThompsonSampling
9,4,ThompsonSampling
10,1,ThompsonSampling
11,1,ThompsonSampling
12,1,ThompsonSampling
13,1,ThompsonSampling
14,1,ThompsonSampling
15,1,ThompsonSampling
16,1,ThompsonSampling
17,1,ThompsonSampling
18,1,ThompsonSampling
19,3,ThompsonSampling
20,1,ThompsonSampling
21,1,ThompsonSampling
22,1,ThompsonSampling
23,1,ThompsonSampling
24,1,ThompsonSampling
25,1,ThompsonSampling
26,1,ThompsonSampling
27,1,ThompsonSampling
28,1,ThompsonSampling
29,1,ThompsonSampling
30,1,ThompsonSampling
31,1,ThompsonSampling
32,1,ThompsonSampling
33,1,ThompsonSampling
34,1,ThompsonSampling
35,3,ThompsonSampling
36,1,ThompsonSampling
37,1,ThompsonSampling
38,1,ThompsonSampling
39,1,ThompsonSampling
40,1,ThompsonSampling
41,1,ThompsonSampling
42,2,ThompsonSampling
43,1,ThompsonSampling
44,1,ThompsonSampling
45,1,ThompsonSampling
46,1,ThompsonSampling
47,1,ThompsonSampling
48,1,ThompsonSampling
49,1,ThompsonSampling
50,1,ThompsonSampling
51,1,ThompsonSampling
52,2,ThompsonSampling
53,1,ThompsonSampling
54,1,ThompsonSampling
55,1,ThompsonSampling
56,1,ThompsonSampling
57,1,ThompsonSampling
58,1,ThompsonSampling
59,1,ThompsonSampling
60,1,ThompsonSampling
61,1,ThompsonSampling
62,1,ThompsonSampling
63,1,ThompsonSampling
64,1,ThompsonSampling
65,1,ThompsonSampling
66,1,ThompsonSampling
67,1,ThompsonSampling
68,1,ThompsonSampling
69,1,ThompsonSampling
70,1,ThompsonSampling
71,2,ThompsonSampling
72,1,ThompsonSampling
73,1,ThompsonSampling
74,1,ThompsonSampling
75,1,ThompsonSampling
76,1,ThompsonSampling
77,1,ThompsonSampling
78,1,ThompsonSampling
79,1,ThompsonSampling
80,1,ThompsonSampling
81,1,ThompsonSampling
82,1,ThompsonSampling
83,1,ThompsonSampling
84,1,ThompsonSampling
85,1,ThompsonSampling
86,1,ThompsonSampling
87,1,ThompsonSampling
88,1,ThompsonSampling
89,1,ThompsonSampling
90,1,ThompsonSampling
91,1,ThompsonSampling
92,1,ThompsonSampling
93,1,ThompsonSampling
94,1,ThompsonSampling
95,1,ThompsonSampling
96,1,ThompsonSampling
97,1,ThompsonSampling
98,1,ThompsonSampling
99,3,ThompsonSampling
100,1,ThompsonSampling
101,1,ThompsonSampling
102,1,ThompsonSampling
103,4,ThompsonSampling
104,1,ThompsonSampling
105,1,ThompsonSampling
106,1,ThompsonSampling
107,1,ThompsonSampling
108,1,ThompsonSampling
109,1,ThompsonSampling
110,1,ThompsonSampling
111,1,ThompsonSampling
112,4,ThompsonSampling
113,1,ThompsonSampling
114,1,ThompsonSampling
115,1,ThompsonSampling
116,1,ThompsonSampling
117,1,ThompsonSampling
118,1,ThompsonSampling
119,1,ThompsonSampling
120,1,ThompsonSampling
121,1,ThompsonSampling
122,1,ThompsonSampling
123,1,ThompsonSampling
124,1,ThompsonSampling
125,1,ThompsonSampling
126,1,ThompsonSampling
127,1,ThompsonSampling
128,1,ThompsonSampling
129,1,ThompsonSampling
130,1,ThompsonSampling
131,1,ThompsonSampling
132,1,ThompsonSampling
133,1,ThompsonSampling
134,1,ThompsonSampling
135,1,ThompsonSampling
136,1,ThompsonSampling
137,1,ThompsonSampling
138,1,ThompsonSampling
139,1,ThompsonSampling
140,1,ThompsonSampling
141,1,ThompsonSampling
142,1,ThompsonSampling
143,1,ThompsonSampling
144,1,ThompsonSampling
145,1,ThompsonSampling
146,1,ThompsonSampling
147,1,ThompsonSampling
148,1,ThompsonSampling
149,1,ThompsonSampling
150,1,ThompsonSampling
151,1,ThompsonSampling
152,1,ThompsonSampling
153,1,ThompsonSampling
154,1,ThompsonSampling
155,1,ThompsonSampling
156,1,ThompsonSampling
157,1,ThompsonSampling
158,1,ThompsonSampling
159,1,ThompsonSampling
160,1,ThompsonSampling
161,1,ThompsonSampling
162,1,ThompsonSampling
163,1,ThompsonSampling
164,1,ThompsonSampling
165,1,ThompsonSampling
166,1,ThompsonSampling
167,1,ThompsonSampling
168,1,ThompsonSampling
169,1,ThompsonSampling
170,1,ThompsonSampling
171,1,ThompsonSampling
172,1,ThompsonSampling
173,1,ThompsonSampling
174,1,ThompsonSampling
175,1,ThompsonSampling
176,1,ThompsonSampling
177,1,ThompsonSampling
178,1,ThompsonSampling
179,1,ThompsonSampling
180,1,ThompsonSampling
181,1,ThompsonSampling
182,1,ThompsonSampling
183,1,ThompsonSampling
184,1,ThompsonSampling
185,1,ThompsonSampling
186,1,ThompsonSampling
187,1,ThompsonSampling
188,1,ThompsonSampling
189,1,ThompsonSampling
190,1,ThompsonSampling
191,1,ThompsonSampling
192,1,ThompsonSampling
193,1,ThompsonSampling
194,1,ThompsonSampling
195,1,ThompsonSampling
196,1,ThompsonSampling
197,1,ThompsonSampling
198,1,ThompsonSampling
199,1,ThompsonSampling
200,1,ThompsonSampling
201,1,ThompsonSampling
202,1,ThompsonSampling
203,1,ThompsonSampling
204,1,ThompsonSampling
205,1,ThompsonSampling
206,1,ThompsonSampling
207,1,ThompsonSampling
208,1,ThompsonSampling
209,1,ThompsonSampling
210,1,ThompsonSampling
211,1,ThompsonSampling
212,1,ThompsonSampling
213,1,ThompsonSampling
214,1,ThompsonSampling
215,1,ThompsonSampling
216,1,ThompsonSampling
217,1,ThompsonSampling
218,1,ThompsonSampling
219,1,ThompsonSampling
220,1,ThompsonSampling
221,1,ThompsonSampling
222,1,ThompsonSampling
223,1,ThompsonSampling
224,1,ThompsonSampling
225,1,ThompsonSampling
226,1,ThompsonSampling
227,1,ThompsonSampling
228,1,ThompsonSampling
229,1,ThompsonSampling
230,1,ThompsonSampling
231,1,ThompsonSampling
232,1,ThompsonSampling
233,1,ThompsonSampling
234,1,ThompsonSampling
235,1,ThompsonSampling
236,1,ThompsonSampling
237,1,ThompsonSampling
238,1,ThompsonSampling
239,1,ThompsonSampling
240,1,ThompsonSampling
241,1,ThompsonSampling
242,1,ThompsonSampling
243,1,ThompsonSampling
244,1,ThompsonSampling
245,1,ThompsonSampling
246,1,ThompsonSampling
247,1,ThompsonSampling
248,1,ThompsonSampling
249,1,ThompsonSampling
250,1,ThompsonSampling
251,1,ThompsonSampling
252,1,ThompsonSampling
253,1,ThompsonSampling
254,1,ThompsonSampling
255,1,ThompsonSampling
256,1,ThompsonSampling
257,3,ThompsonSampling
258,1,ThompsonSampling
259,1,ThompsonSampling
260,1,ThompsonSampling
261,1,ThompsonSampling
262,1,ThompsonSampling
263,1,ThompsonSampling
264,1,ThompsonSampling
265,1,ThompsonSampling
266,1,ThompsonSampling
267,1,ThompsonSampling
268,1,ThompsonSampling
269,1,ThompsonSampling
270,1,ThompsonSampling
271,1,ThompsonSampling
272,1,ThompsonSampling
273,1,ThompsonSampling
274,1,ThompsonSampling
275,1,ThompsonSampling
276,1,ThompsonSampling
277,1,ThompsonSampling
278,1,ThompsonSampling
279,1,ThompsonSampling
280,1,ThompsonSampling
281,1,ThompsonSampling
282,1,ThompsonSampling
283,1,ThompsonSampling
284,1,ThompsonSampling
285,1,ThompsonSampling
286,1,ThompsonSampling
287,1,ThompsonSampling
288,1,ThompsonSampling
289,1,ThompsonSampling
290,1,ThompsonSampling
291,1,ThompsonSampling
292,1,ThompsonSampling
293,1,ThompsonSampling
294,1,ThompsonSampling
295,1,ThompsonSampling
296,1,ThompsonSampling
297,1,ThompsonSampling
298,1,ThompsonSampling
299,1,ThompsonSampling
300,1,ThompsonSampling
301,1,ThompsonSampling
302,1,ThompsonSampling
303,1,ThompsonSampling
304,1,ThompsonSampling
305,1,ThompsonSampling
306,1,ThompsonSampling
307,1,ThompsonSampling
308,1,ThompsonSampling
309,1,ThompsonSampling
310,1,ThompsonSampling
311,1,ThompsonSampling
312,1,ThompsonSampling
313,1,ThompsonSampling
314,1,ThompsonSampling
315,1,ThompsonSampling
316,1,ThompsonSampling
317,1,ThompsonSampling
318,1,ThompsonSampling
319,1,ThompsonSampling
320,1,ThompsonSampling
321,1,ThompsonSampling
322,1,ThompsonSampling
323,1,ThompsonSampling
324,1,ThompsonSampling
325,1,ThompsonSampling
326,1,ThompsonSampling
327,1,ThompsonSampling
328,1,ThompsonSampling
329,1,ThompsonSampling
330,1,ThompsonSampling
331,1,ThompsonSampling
332,1,ThompsonSampling
333,1,ThompsonSampling
334,1,ThompsonSampling
335,1,ThompsonSampling
336,1,ThompsonSampling
337,1,ThompsonSampling
338,1,ThompsonSampling
339,1,ThompsonSampling
340,1,ThompsonSampling
341,1,ThompsonSampling
342,1,ThompsonSampling
343,1,ThompsonSampling
344,1,ThompsonSampling
345,1,ThompsonSampling
346,1,ThompsonSampling
347,1,ThompsonSampling
348,1,ThompsonSampling
349,1,ThompsonSampling
350,1,ThompsonSampling
351,1,ThompsonSampling
352,1,ThompsonSampling
353,1,ThompsonSampling
354,1,ThompsonSampling
355,4,ThompsonSampling
356,1,ThompsonSampling
357,1,ThompsonSampling
358,1,ThompsonSampling
359,1,ThompsonSampling
360,1,ThompsonSampling
361,1,ThompsonSampling
362,1,ThompsonSampling
363,1,ThompsonSampling
364,1,ThompsonSampling
365,1,ThompsonSampling
366,1,ThompsonSampling
367,1,ThompsonSampling
368,1,ThompsonSampling
369,1,ThompsonSampling
370,1,ThompsonSampling
371,1,ThompsonSampling
372,1,ThompsonSampling
373,1,ThompsonSampling
374,1,ThompsonSampling
375,1,ThompsonSampling
376,1,ThompsonSampling
377,1,ThompsonSampling
378,1,ThompsonSampling
379,1,ThompsonSampling
380,1,ThompsonSampling
381,1,ThompsonSampling
382,1,ThompsonSampling
383,1,ThompsonSampling
384,1,ThompsonSampling
385,1,ThompsonSampling
386,1,ThompsonSampling
387,1,ThompsonSampling
388,1,ThompsonSampling
389,1,ThompsonSampling
390,1,ThompsonSampling
391,1,ThompsonSampling
392,1,ThompsonSampling
393,1,ThompsonSampling
394,1,ThompsonSampling
395,1,ThompsonSampling
396,1,ThompsonSampling
397,1,ThompsonSampling
398,1,ThompsonSampling
399,1,ThompsonSampling
400,1,ThompsonSampling
401,1,ThompsonSampling
402,1,ThompsonSampling
403,1,ThompsonSampling
404,1,ThompsonSampling
405,1,ThompsonSampling
406,1,ThompsonSampling
407,1,ThompsonSampling
408,1,ThompsonSampling
409,1,ThompsonSampling
410,1,ThompsonSampling
411,1,ThompsonSampling
412,1,ThompsonSampling
413,1,ThompsonSampling
414,1,ThompsonSampling
415,1,ThompsonSampling
416,1,ThompsonSampling
417,1,ThompsonSampling
418,1,ThompsonSampling
419,1,ThompsonSampling
420,1,ThompsonSampling
421,1,ThompsonSampling
422,1,ThompsonSampling
423,1,ThompsonSampling
424,1,ThompsonSampling
425,1,ThompsonSampling
426,1,ThompsonSampling
427,1,ThompsonSampling
428,1,ThompsonSampling
429,1,ThompsonSampling
430,1,ThompsonSampling
431,1,ThompsonSampling
432,1,ThompsonSampling
433,1,ThompsonSampling
434,1,ThompsonSampling
435,1,ThompsonSampling
436,1,ThompsonSampling
437,1,ThompsonSampling
438,1,ThompsonSampling
439,1,ThompsonSampling
440,1,ThompsonSampling
441,1,ThompsonSampling
442,1,ThompsonSampling
443,1,ThompsonSampling
444,1,ThompsonSampling
445,2,ThompsonSampling
446,1,ThompsonSampling
447,1,ThompsonSampling
448,1,ThompsonSampling
449,1,ThompsonSampling
450,1,ThompsonSampling
451,1,ThompsonSampling
452,1,ThompsonSampling
453,1,ThompsonSampling
454,1,ThompsonSampling
455,1,ThompsonSampling
456,1,ThompsonSampling
457,1,ThompsonSampling
458,1,ThompsonSampling
459,1,ThompsonSampling
460,1,ThompsonSampling
461,1,ThompsonSampling
462,1,ThompsonSampling
463,1,ThompsonSampling
464,1,ThompsonSampling
465,1,ThompsonSampling
466,1,ThompsonSampling
467,1,ThompsonSampling
468,1,ThompsonSampling
469,1,ThompsonSampling
470,1,ThompsonSampling
471,1,ThompsonSampling
472,1,ThompsonSampling
473,1,ThompsonSampling
474,1,ThompsonSampling
475,1,ThompsonSampling
476,1,ThompsonSampling
477,1,ThompsonSampling
478,1,ThompsonSampling
479,1,ThompsonSampling
480,1,ThompsonSampling
481,1,ThompsonSampling
482,3,ThompsonSampling
483,1,ThompsonSampling
484,1,ThompsonSampling
485,1,ThompsonSampling
486,1,ThompsonSampling
487,1,ThompsonSampling
488,1,ThompsonSampling
489,1,ThompsonSampling
490,1,ThompsonSampling
491,1,ThompsonSampling
492,1,ThompsonSampling
493,1,ThompsonSampling
494,1,ThompsonSampling
495,1,ThompsonSampling
496,1,ThompsonSampling
497,1,ThompsonSampling
498,1,ThompsonSampling
499,1,ThompsonSampling
500,1,ThompsonSampling
501,1,ThompsonSampling
502,1,ThompsonSampling
503,1,ThompsonSampling
504,1,ThompsonSampling
505,1,ThompsonSampling
506,1,ThompsonSampling
507,1,ThompsonSampling
508,1,ThompsonSampling
509,1,ThompsonSampling
510,1,ThompsonSampling
511,1,ThompsonSampling
512,1,ThompsonSampling
513,1,ThompsonSampling
514,1,ThompsonSampling
515,1,ThompsonSampling
516,1,ThompsonSampling
517,1,ThompsonSampling
518,1,ThompsonSampling
519,1,ThompsonSampling
520,1,ThompsonSampling
521,1,ThompsonSampling
522,1,ThompsonSampling
523,1,ThompsonSampling
524,1,ThompsonSampling
525,1,ThompsonSampling
526,1,ThompsonSampling
527,1,ThompsonSampling
528,1,ThompsonSampling
529,1,ThompsonSampling
530,1,ThompsonSampling
531,1,ThompsonSampling
532,1,ThompsonSampling
533,1,ThompsonSampling
534,1,ThompsonSampling
535,1,ThompsonSampling
536,1,ThompsonSampling
537,1,ThompsonSampling
538,1,ThompsonSampling
539,1,ThompsonSampling
540,1,ThompsonSampling
541,1,ThompsonSampling
542,1,ThompsonSampling
543,1,ThompsonSampling
544,1,ThompsonSampling
545,1,ThompsonSampling
546,1,ThompsonSampling
547,1,ThompsonSampling
548,1,ThompsonSampling
549,1,ThompsonSampling
550,1,ThompsonSampling
551,1,ThompsonSampling
552,1,ThompsonSampling
553,1,ThompsonSampling
554,1,ThompsonSampling
555,1,ThompsonSampling
556,1,ThompsonSampling
557,1,ThompsonSampling
558,1,ThompsonSampling
559,1,ThompsonSampling
560,1,ThompsonSampling
561,1,ThompsonSampling
562,1,ThompsonSampling
563,1,ThompsonSampling
564,1,ThompsonSampling
565,1,ThompsonSampling
566,1,ThompsonSampling
567,1,ThompsonSampling
568,1,ThompsonSampling
569,1,ThompsonSampling
570,1,ThompsonSampling
571,1,ThompsonSampling
572,1,ThompsonSampling
573,1,ThompsonSampling
574,1,ThompsonSampling
575,1,ThompsonSampling
576,1,ThompsonSampling
577,1,ThompsonSampling
578,1,ThompsonSampling
579,1,ThompsonSampling
580,1,ThompsonSampling
581,1,ThompsonSampling
582,1,ThompsonSampling
583,1,ThompsonSampling
584,1,ThompsonSampling
585,1,ThompsonSampling
586,1,ThompsonSampling
587,1,ThompsonSampling
588,1,ThompsonSampling
589,1,ThompsonSampling
590,1,ThompsonSampling
591,1,ThompsonSampling
592,1,ThompsonSampling
593,1,ThompsonSampling
594,1,ThompsonSampling
595,1,ThompsonSampling
596,1,ThompsonSampling
597,1,ThompsonSampling
598,1,ThompsonSampling
599,1,ThompsonSampling
600,1,ThompsonSampling
601,1,ThompsonSampling
